Quote,Speaker,Group
"Protesters' escalated unlawful behavior this weekend by setting up illegal roadblocks, trespassing onto private property…this is a public safety issue.   ", Morton County Sheriff's Department,A
...damage caused after protesters set numerous fires. , Morton County Sheriff's Department,A
[The police said the protesters had been] very aggressive , Morton County Sheriff's Department,A
...multiple archaeological studies conducted with state historic preservation offices found no sacred items along the route ," Kelcy Warren, CEO of Energy Transfer Partners",A
...political interference…further delay in the consideration of this case would add millions of dollars more each month in costs which cannot be recovered. , Energy Transfer Partners,A
...will only prolong the disruption in the region caused by protests and make life difficult for everyone who lives and works in the area. , North Dakota Senator John Hoeven,A
[Energy Transfer Partners alleges Greenpeace and other] eco-terrorist groups [tried to block its pipeline with] campaigns of misinformation. , Energy Transfer Partners,A
"The protesters' sprawling encampments, with virtually no sanitation facilities, and their contamination of the land and water during their `occupation,' were all in violation of federal law. ", Attorney General Wayne Stenehjem,A
a gift to the people of North Dakota (referring to a donation from Energy Transfer partners) , Attorney General Wayne Stenehjem ,A
We think this is a great step forward for energy security in America. ," Ron Ness, the council's president",A
We are very pleased to bring this important infrastructure project that benefits all Americans and our national economy into service on June 1. , Energy Transfer spokeswoman Lisa Dillinger,A
"There were some that would have liked to have it zigzag through their farms, mainly because of what they got paid. ", MAIN Coalition Chairman Ed Wiederstein,A
We think that this is a better and safer way to do it…. We have thousands of miles of pipeline through the state of Iowa…the newer approach that was used in this pipeline I think will be a lot safer. , Iowa Gov. Terry Branstad,A
"While we can expect to see the continued spread of the anti-DAPL diaspora … aggressive intelligence preparation of the battlefield and active coordination between intelligence and security elements are now a proven method of defeating pipeline insurgencies, ", TigerSwan documents [private security firm],A
"Unfortunately, a lot of times these things can be overwhelmed from outside groups. ", Sen. Scott Martin,A
"...developed response and action plans, and will include several monitoring systems, shut-off valves, and other safety features to minimize the risk of spills….. ", Energy Transfer Partners,A
"a large component [of protestors] is very violent, very confrontational…we hopefully will see federal agents helping police…. When you have that many people engaged in that kind of behavior, inciting others to break the law, cheering others on as they do break the law, refusing to leave when they're asked to leave, that's not a protest. ", Cass County Sheriff Paul Laney,A
"Energy Transfer Partners said the project meets “all applicable federal, state and local environmental laws, regulations and standards,” according to a company fact sheet. “We continually seek ways to enhance our operations in the areas of environmental and resource protection and conservation,” the company says. ", Energy Transfer Partners,A
There is an element there of people protesting who are frightening. It's time for them to go home. , North Dakota Attorney General Wayne Stenehjem ,A
"We cannot let the politics of extreme activists, or the narcissistic antics of celebrities, harm what should be our most important goal, which is comity between tribal and non-tribal communities and a unified, neighborly spirit as North Dakotans. "," Rob Port, blogger",A
Today's unfortunate decision sends a very chilling signal to others who want to build infrastructure in this country. , Rep. Kevin Cramer,A
"This action is motivated purely by politics at the expense of a company that has done nothing but play by the rules it was given, "," Energy Transfer Partners CEO, Kelcy Warren",A
We're not in a position where we can agree to any kind of stopping of the pipeline. ," David Debold, a lawyer for Dakota Access",A
We don't ever hear the narrative of indigenous people.  We hear people writing our narratives for us ," Eryn Wise, Council communications director ",B
The cops watched the whole thing from up on the hills. It felt like they were trying to provoke us into being violent when we're peaceful. , Woman protestor ,B
"North Dakota regulators are really, I would say, in bed with the oil industry and so they have looked the other way. "," Winona LaDuke, Ojibwe activist, Green Party candidate ",B
"Confronting men, women, and children while outfitted in gear more suited for the battlefield is a disproportionate response. ", Archambault ,B
"[my daughter was] strip-searched in front of multiple male officers, then left for hours in her cell, naked and freezing. ", Brave Bull Allard ,B
