QUOTE,REMOVE
"incredibly cumbersome, long, horrible permitting process.",
"Based on our improved understanding of the project setting, we also recommend addressing additional concerns regarding environmental justice and emergency response actions to spills/leaks.",
spiritual run,
We don't ever hear the narrative of indigenous people.  We hear people writing our narratives for us.,
So just that you know: this is something that the tribe is not supporting.,
National movement for Native Americans.,
The cops watched the whole thing from up on the hills. It felt like they were trying to provoke us into being violent when we're peaceful.,
absolutely appalling,
reprehensible,
"Taking bite dogs and putting them at the end of a leash to intimidate, threaten and prevent crime is not appropriate.",
It reminded me of the civil rights movement back in the '60s. I didn't think it was appropriate. They were overwhelmed and it just wasn't proper use of the dogs.,
treat everyone fairly and equally.,
"North Dakota regulators are really, I would say, in bed with the oil industry and so they have looked the other way.",
restraining orders and unspecified monetary damages.,
I approve this message,X
decolonize,
a prosecutor who arrests a reporter because he doesn't think she's 'balanced' enough is basically telling future reporters what needs to be in their stories to avoid arrest. This is totally improper and un-American.,
heightening the danger,
"Confronting men, women, and children while outfitted in gear more suited for the battlefield is a disproportionate response",
legal issues with proving the notice of trespassing requirements in the statute.,
squat and cough,
"strip-searched in front of multiple male officers, then left for hours in her cell, naked and freezing.",
"Never did it cross my mind that while trying to protect clean water, trying to ensure a future where our children have access to an element essential for human survival, would I be strip-searched. I was just shocked.",
what appeared to be,
"Our sisters who got arrested were stripped, marked with numbers, and held in dog kennels. Sound familiar?",
"Protesters' escalated unlawful behavior this weekend by setting up illegal roadblocks, trespassing onto private property and establishing an encampment, has forced law enforcement to respond at this time. I can't stress it enough, this is a public safety issue. We cannot have protesters blocking county roads, blocking state highways, or trespassing on private property.",
scary,
"with tribal members who were singing their death songs. I mean, they were very worried about the possibility of violence. And who wouldn't be? You have seen law enforcement marshaled from six states, armored personnel carriers, hundreds and hundreds of law enforcement officers with concussion grenades, mace, Tasers, batons. And they used all of it. I mean, it was frightening to watch.",
"the law enforcement officers had advance[d] more than 100 yards with five armored personnel carriers side by side, hundreds of law enforcement officers advancing on them. And it finally took an elder to actually walk by himself in between the two lines, stand there, face his people, and say: 'Go home. We're here to fight the pipeline, not these people, and we can only win this with prayer.'",
